"Duration..in.seconds.","ResponseId","UserLanguage","Intro","question","response","question_number","question_group"
157,"R_73EKhxpL40LNZ94","EN",2,"Control_only_cat...25","2",NA,"1_Control"
176,"R_17EzhlQuFZ8uIFU","EN",2,"Control_only_cat...25","2",NA,"1_Control"
151,"R_3F8U45sZSaABavf","EN",2,"Control_only_cat...25","2",NA,"1_Control"
140,"R_5COxM0ncYsxiIC1","EN",2,"Control_only_cat...25","2",NA,"1_Control"
181,"R_1gBJtn3uei1isPp","EN",2,"Control_two_animals...27","4",NA,"1_Control"
157,"R_73EKhxpL40LNZ94","EN",2,"Control_two_animals...27","4",NA,"1_Control"
176,"R_17EzhlQuFZ8uIFU","EN",2,"Control_two_animals...27","4",NA,"1_Control"
151,"R_3F8U45sZSaABavf","EN",2,"Control_two_animals...27","4",NA,"1_Control"
140,"R_5COxM0ncYsxiIC1","EN",2,"Control_two_animals...27","4",NA,"1_Control"
181,"R_1gBJtn3uei1isPp","EN",2,"Control_has_cat_dog","4",NA,"1_Control"
157,"R_73EKhxpL40LNZ94","EN",2,"Control_has_cat_dog","4",NA,"1_Control"
176,"R_17EzhlQuFZ8uIFU","EN",2,"Control_has_cat_dog","4",NA,"1_Control"
151,"R_3F8U45sZSaABavf","EN",2,"Control_has_cat_dog","4",NA,"1_Control"
140,"R_5COxM0ncYsxiIC1","EN",2,"Control_has_cat_dog","4",NA,"1_Control"
181,"R_1gBJtn3uei1isPp","EN",2,"Control_only_cat...31","2",NA,"1_Control"
157,"R_73EKhxpL40LNZ94","EN",2,"Control_only_cat...31","2",NA,"1_Control"
176,"R_17EzhlQuFZ8uIFU","EN",2,"Control_only_cat...31","2",NA,"1_Control"
151,"R_3F8U45sZSaABavf","EN",2,"Control_only_cat...31","2",NA,"1_Control"
140,"R_5COxM0ncYsxiIC1","EN",2,"Control_only_cat...31","2",NA,"1_Control"
181,"R_1gBJtn3uei1isPp","EN",2,"Control_two_animals...37","4",NA,"1_Control"
157,"R_73EKhxpL40LNZ94","EN",2,"Control_two_animals...37","4",NA,"1_Control"
176,"R_17EzhlQuFZ8uIFU","EN",2,"Control_two_animals...37","4",NA,"1_Control"
151,"R_3F8U45sZSaABavf","EN",2,"Control_two_animals...37","4",NA,"1_Control"
140,"R_5COxM0ncYsxiIC1","EN",2,"Control_two_animals...37","4",NA,"1_Control"
181,"R_1gBJtn3uei1isPp","EN",2,"Control_no_animals","3",NA,"1_Control"
157,"R_73EKhxpL40LNZ94","EN",2,"Control_no_animals","3",NA,"1_Control"
176,"R_17EzhlQuFZ8uIFU","EN",2,"Control_no_animals","3",NA,"1_Control"
151,"R_3F8U45sZSaABavf","EN",2,"Control_no_animals","3",NA,"1_Control"
140,"R_5COxM0ncYsxiIC1","EN",2,"Control_no_animals","3",NA,"1_Control"
181,"R_1gBJtn3uei1isPp","EN",2,"not_and_cb_001","3",1,"2_Not_And"
157,"R_73EKhxpL40LNZ94","EN",2,"not_and_cb_001","3",1,"2_Not_And"
176,"R_17EzhlQuFZ8uIFU","EN",2,"not_and_cb_001","3",1,"2_Not_And"
151,"R_3F8U45sZSaABavf","EN",2,"not_and_cb_001","3",1,"2_Not_And"
140,"R_5COxM0ncYsxiIC1","EN",2,"not_and_cb_001","3",1,"2_Not_And"
181,"R_1gBJtn3uei1isPp","EN",2,"not_and_dc_002","3",2,"2_Not_And"
157,"R_73EKhxpL40LNZ94","EN",2,"not_and_dc_002","3",2,"2_Not_And"
176,"R_17EzhlQuFZ8uIFU","EN",2,"not_and_dc_002","1,2,3",2,"2_Not_And"
151,"R_3F8U45sZSaABavf","EN",2,"not_and_dc_002","3",2,"2_Not_And"
140,"R_5COxM0ncYsxiIC1","EN",2,"not_and_dc_002","3",2,"2_Not_And"
181,"R_1gBJtn3uei1isPp","EN",2,"not_and_ed_003","3",3,"2_Not_And"
157,"R_73EKhxpL40LNZ94","EN",2,"not_and_ed_003","3",3,"2_Not_And"
176,"R_17EzhlQuFZ8uIFU","EN",2,"not_and_ed_003","3",3,"2_Not_And"
151,"R_3F8U45sZSaABavf","EN",2,"not_and_ed_003","3",3,"2_Not_And"
140,"R_5COxM0ncYsxiIC1","EN",2,"not_and_ed_003","3",3,"2_Not_And"
181,"R_1gBJtn3uei1isPp","EN",2,"not_and_cb_101","1,2,3",101,"2_Not_And"
157,"R_73EKhxpL40LNZ94","EN",2,"not_and_cb_101","1,2,3",101,"2_Not_And"
176,"R_17EzhlQuFZ8uIFU","EN",2,"not_and_cb_101","1,2,3",101,"2_Not_And"
151,"R_3F8U45sZSaABavf","EN",2,"not_and_cb_101","1,2,3",101,"2_Not_And"
140,"R_5COxM0ncYsxiIC1","EN",2,"not_and_cb_101","1,2,3",101,"2_Not_And"
181,"R_1gBJtn3uei1isPp","EN",2,"not_and_dc_102","1,2",102,"2_Not_And"
157,"R_73EKhxpL40LNZ94","EN",2,"not_and_dc_102","1,2,3",102,"2_Not_And"
176,"R_17EzhlQuFZ8uIFU","EN",2,"not_and_dc_102","1,2,3",102,"2_Not_And"
151,"R_3F8U45sZSaABavf","EN",2,"not_and_dc_102","1,2,3",102,"2_Not_And"
140,"R_5COxM0ncYsxiIC1","EN",2,"not_and_dc_102","1,2,3",102,"2_Not_And"
181,"R_1gBJtn3uei1isPp","EN",2,"not_and_ed_103","1,2,3",103,"2_Not_And"
157,"R_73EKhxpL40LNZ94","EN",2,"not_and_ed_103","1,2,3",103,"2_Not_And"
176,"R_17EzhlQuFZ8uIFU","EN",2,"not_and_ed_103","1,2,3",103,"2_Not_And"
151,"R_3F8U45sZSaABavf","EN",2,"not_and_ed_103","1,2,3",103,"2_Not_And"
140,"R_5COxM0ncYsxiIC1","EN",2,"not_and_ed_103","1,2,3",103,"2_Not_And"
181,"R_1gBJtn3uei1isPp","EN",2,"not_or_ed_001","3",1,"3_Not_Or"
157,"R_73EKhxpL40LNZ94","EN",2,"not_or_ed_001","3",1,"3_Not_Or"
176,"R_17EzhlQuFZ8uIFU","EN",2,"not_or_ed_001","3",1,"3_Not_Or"
151,"R_3F8U45sZSaABavf","EN",2,"not_or_ed_001","3",1,"3_Not_Or"
140,"R_5COxM0ncYsxiIC1","EN",2,"not_or_ed_001","3",1,"3_Not_Or"
181,"R_1gBJtn3uei1isPp","EN",2,"not_or_cb_002","3",2,"3_Not_Or"
157,"R_73EKhxpL40LNZ94","EN",2,"not_or_cb_002","3",2,"3_Not_Or"
176,"R_17EzhlQuFZ8uIFU","EN",2,"not_or_cb_002","3",2,"3_Not_Or"
151,"R_3F8U45sZSaABavf","EN",2,"not_or_cb_002","3",2,"3_Not_Or"
140,"R_5COxM0ncYsxiIC1","EN",2,"not_or_cb_002","3",2,"3_Not_Or"
181,"R_1gBJtn3uei1isPp","EN",2,"not_or_cd_003","3",3,"3_Not_Or"
157,"R_73EKhxpL40LNZ94","EN",2,"not_or_cd_003","3",3,"3_Not_Or"
176,"R_17EzhlQuFZ8uIFU","EN",2,"not_or_cd_003","3",3,"3_Not_Or"
151,"R_3F8U45sZSaABavf","EN",2,"not_or_cd_003","3",3,"3_Not_Or"
140,"R_5COxM0ncYsxiIC1","EN",2,"not_or_cd_003","1,2,3",3,"3_Not_Or"
181,"R_1gBJtn3uei1isPp","EN",2,"not_or_ed_101","1,2,3",101,"3_Not_Or"
157,"R_73EKhxpL40LNZ94","EN",2,"not_or_ed_101","1,2,3",101,"3_Not_Or"
176,"R_17EzhlQuFZ8uIFU","EN",2,"not_or_ed_101","1,2,3",101,"3_Not_Or"
151,"R_3F8U45sZSaABavf","EN",2,"not_or_ed_101","1,2,3",101,"3_Not_Or"
140,"R_5COxM0ncYsxiIC1","EN",2,"not_or_ed_101","1,2,3",101,"3_Not_Or"
181,"R_1gBJtn3uei1isPp","EN",2,"not_or_cb_102","1,2,3",102,"3_Not_Or"
157,"R_73EKhxpL40LNZ94","EN",2,"not_or_cb_102","1,2,3",102,"3_Not_Or"
176,"R_17EzhlQuFZ8uIFU","EN",2,"not_or_cb_102","1,2,3",102,"3_Not_Or"
151,"R_3F8U45sZSaABavf","EN",2,"not_or_cb_102","1,2,3",102,"3_Not_Or"
140,"R_5COxM0ncYsxiIC1","EN",2,"not_or_cb_102","1,2,3",102,"3_Not_Or"
181,"R_1gBJtn3uei1isPp","EN",2,"not_or_cd_103","1,2,3",103,"3_Not_Or"
157,"R_73EKhxpL40LNZ94","EN",2,"not_or_cd_103","1,2,3",103,"3_Not_Or"
176,"R_17EzhlQuFZ8uIFU","EN",2,"not_or_cd_103","1,2,3",103,"3_Not_Or"
151,"R_3F8U45sZSaABavf","EN",2,"not_or_cd_103","1,2,3",103,"3_Not_Or"
140,"R_5COxM0ncYsxiIC1","EN",2,"not_or_cd_103","1,2,3",103,"3_Not_Or"
