StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Intro,Control_noanimals_1,Control_oneanimal_2,Control_twoanimals_3,not_and_cb_001,Control_twoanimals_4,not_or_ed_001,Control_onlycat_5,not_and_dc_002,Control_twoanimals_6,not_and_ed_003,Control_hascatdog_7,not_or_cb_002,Control_onlycat_9,not_or_cb_102,not_or_cd_003,not_or_ed_101,not_and_cb_101,not_or_cd_103,Control_twoanimals_1,not_and_ed_103,Control_noanimals_10,not_and_dc_102
4/9/2025 10:02,4/9/2025 10:08,0,100,365,1,4/9/2025 10:08,R_6tlrJTBZDjsoERX,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,3,3,3
4/9/2025 10:06,4/9/2025 10:12,0,100,364,1,4/9/2025 10:12,R_6xKxjXmi0gDWfnz,anonymous,EN,2,3,"1,2",4,4,4,3,2,3,4,3,4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
4/10/2025 17:59,4/10/2025 18:03,0,100,238,1,4/10/2025 18:03,R_5mkLlUpEJqxwjvQ,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
4/10/2025 18:01,4/10/2025 18:05,0,100,224,1,4/10/2025 18:05,R_6E4C3LMlnipcWlL,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,3,3,3
4/10/2025 17:58,4/10/2025 18:05,0,100,428,1,4/10/2025 18:05,R_1VIJ8ym0KgJgZQO,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
4/10/2025 18:02,4/10/2025 18:07,0,100,313,1,4/10/2025 18:07,R_6LjlFgAOkh33Nwl,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,"1,2",3,4,"1,2",3,"1,2,3"
4/10/2025 18:00,4/10/2025 18:07,0,100,409,1,4/10/2025 18:07,R_64tMHNIVhO17kme,anonymous,EN,2,3,"1,2",4,3,4,4,2,4,4,4,4,3,2,3,3,2,3,3,4,4,3,4
4/10/2025 18:05,4/10/2025 18:07,0,100,177,1,4/10/2025 18:07,R_5fQ0tKAHCCx00JD,anonymous,EN,2,3,"1,2",4,,,3,2,3,4,3,4,3,2,3,3,3,3,3,4,"2,3",3,"1,2,3"
4/10/2025 17:58,4/10/2025 18:09,0,100,632,1,4/10/2025 18:09,R_1LGCfufq7tGHkfT,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,3,3,3
4/10/2025 18:04,4/10/2025 18:09,0,100,309,1,4/10/2025 18:09,R_12XhO42e3bY9Rqq,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
4/10/2025 18:05,4/10/2025 18:09,0,100,253,1,4/10/2025 18:09,R_3rkLL6SpPbFHUpB,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,3,3,3
4/10/2025 18:06,4/10/2025 18:11,0,100,294,1,4/10/2025 18:11,R_763a9VdLYsjHpP0,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,3,3,3
4/10/2025 18:07,4/10/2025 18:11,0,100,284,1,4/10/2025 18:11,R_5dt8uYqSFfCGivz,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
4/10/2025 18:06,4/10/2025 18:14,0,100,460,1,4/10/2025 18:14,R_3BeWoVT53AeJ2pn,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
4/10/2025 18:11,4/10/2025 18:15,0,100,209,1,4/10/2025 18:15,R_5uVQir0R9ZJummZ,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,3,4,3,4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
4/10/2025 18:05,4/10/2025 18:15,0,100,565,1,4/10/2025 18:15,R_6YnBIhsQ2IMll3V,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,3,3,3
4/10/2025 18:12,4/10/2025 18:17,0,100,253,1,4/10/2025 18:17,R_6gkQfP5qStzjnYR,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,"1,2,3",3,"1,2,3"
4/10/2025 18:06,4/10/2025 18:17,0,100,615,1,4/10/2025 18:17,R_7cw8mvbkt2JpKn2,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,"1,2,3",3,"1,2,3"
4/10/2025 18:13,4/10/2025 18:19,0,100,334,1,4/10/2025 18:19,R_3hYAnKo4k6C1Gzm,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,3,3,3
4/10/2025 18:15,4/10/2025 18:19,0,100,240,1,4/10/2025 18:19,R_65aZfmjMjZCv4wV,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
4/10/2025 18:15,4/10/2025 18:22,0,100,379,1,4/10/2025 18:22,R_6flS4lTVJ42p3u1,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
4/10/2025 18:19,4/10/2025 18:22,0,100,190,1,4/10/2025 18:22,R_5qDBXIfott5SwDP,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,3,3,3
4/10/2025 18:19,4/10/2025 18:22,0,100,197,1,4/10/2025 18:22,R_5q8TSm1pZ6IUpbt,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
4/10/2025 18:14,4/10/2025 18:26,0,100,716,1,4/10/2025 18:26,R_7ee7grtT0qJpwqE,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,,4,3,2,"2,3",3,3,3,3,4,3,3,3
4/10/2025 18:23,4/10/2025 18:27,0,100,249,1,4/10/2025 18:27,R_7gH0AUz4vvdafuX,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,3,4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
4/10/2025 18:13,4/10/2025 18:28,0,100,897,1,4/10/2025 18:28,R_1mfwcahv49fnVK7,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
4/10/2025 18:27,4/10/2025 18:32,0,100,292,1,4/10/2025 18:32,R_1Sxzxc5vaJB2GlP,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,3,3,3
4/10/2025 18:23,4/10/2025 18:33,0,100,580,1,4/10/2025 18:33,R_58GRPQOBNHWmuVy,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,2,3,4,"1,2,3",3,"1,2,3"
4/10/2025 18:37,4/10/2025 18:40,0,100,155,1,4/10/2025 18:40,R_7r7FsUulnrFMGFO,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,"1,2",4,"1,2,3",3,3
4/10/2025 18:35,4/10/2025 18:40,0,100,292,1,4/10/2025 18:40,R_3MJuOomtrmGqbPI,anonymous,EN,2,3,"1,2",4,3,4,3,,3,4,3,4,3,2,3,3,3,3,3,4,3,3,3
4/10/2025 18:37,4/10/2025 18:42,0,100,279,1,4/10/2025 18:42,R_7D8PJ1WLng3LtIn,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
4/10/2025 18:38,4/10/2025 18:42,0,100,198,1,4/10/2025 18:42,R_6t3C6eKHZs62y65,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,3,4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
4/10/2025 18:39,4/10/2025 18:42,0,100,201,1,4/10/2025 18:42,R_5nMLq49xxAEMZUc,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
4/10/2025 18:41,4/10/2025 18:49,0,100,463,1,4/10/2025 18:49,R_6vXSGOsoP7tiMI9,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
4/10/2025 18:48,4/10/2025 18:52,0,100,217,1,4/10/2025 18:52,R_5QsanCuWyaR6Q37,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
4/10/2025 18:43,4/10/2025 18:53,0,100,543,1,4/10/2025 18:53,R_1YJ27EEXTgn0IYG,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,2,3,3
4/10/2025 18:50,4/10/2025 18:53,0,100,199,1,4/10/2025 18:53,R_6VeagvgdRM5bQmK,anonymous,EN,2,3,"1,2",4,3,4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
4/10/2025 18:49,4/10/2025 19:01,0,100,710,1,4/10/2025 19:01,R_7HLly6K5iHUXyds,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
4/10/2025 18:59,4/10/2025 19:06,0,100,422,1,4/10/2025 19:06,R_51cbwIQKIn0KHoo,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
4/10/2025 19:03,4/10/2025 19:10,0,100,408,1,4/10/2025 19:10,R_7G4Bkad1HPgA86Z,anonymous,EN,2,3,"1,2",4,3,,"2,3","2,4",3,4,3,4,"1,3","2,4","2,3",3,"2,3",3,3,4,,3,3
4/10/2025 19:19,4/10/2025 19:24,0,100,327,1,4/10/2025 19:24,R_5qV5cMRZh5OfDUe,anonymous,EN,2,3,"1,2",4,3,4,3,2,"2,3",4,"2,3",4,"1,3",2,3,3,3,2,3,4,2,3,2
4/10/2025 19:34,4/10/2025 19:37,0,100,207,1,4/10/2025 19:37,R_7eKmWNTc5D4Q2DJ,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
